eng_train,eng_test,nld_train,nld_test
biden,,abortuswetgeving,
democrats,,mexicaanse,
abortion,,libertarians,
abc,,abortus,
abortion,,republikeinse,
medicare,,abortusboot,
reelection,,theoloog,
lgbtq,,coalitiepartijen,
abortion,,rhinovirus,
abortion,,françaises,
abortion,,abortuswetten,
abortion,,abortusrecht,
feminism,,racistisch,
abortion,,abortusrecht,
comedians,,abortusbeweging,
judiciary,,panthéon,
protesting,,abortusrechten,
democrat,,abortusklinieken,
impeachment,,ambassadeur,
abortion,,abortuswetgeving,
nephrectomy,,abortusrecht,
abortion,,abortion,
macron,,hooggerechtshof,
standoff,,cultuuroorlog,
thatcher,,abortussen,
abortion,,nazi,
abortion,,mexico,
jennifer,,congres,
putin,,argentinië,
psalms,,hooggerechtshof,
fly,,groenlinks,
filibuster,,voetbalclub,
warren,,trump,
parnas,,donorregistratiesysteem,
katharine,,rifle,
covid,,argentinië,
candidates,,trump,
contraception,,hillary,
abortion,,abortusdemonstranten,
referendum,,senator,
ballads,,presidentsverkiezingen,
jailings,,chili,
hearings,,trump,
candidates,,abortuswetgeving,
deeming,,noordwesten,
abortion,,abortusklinieken,
presenter,,verkrachten,
turnout,,abortusklinieken,
defamation,,abortuswetgeving,
biden,,zikavirus,
abortion,,abortusrechtszaak,
glastonbury,,amsterdam,
abortion,,texas,
hale,,korea,
abortion,,abortuswetgeving,
justices,,afrikaelles,
abortion,,zwangerschappen,
castes,,verkiezingstool,
breastfeeding,,abortussen,
putin,,zwangerschap,
abortion,,trump,
gynaecologists,,democraten,
biden,,politiekdeel,
marathon,,vanmorgen,
elizabeth,,texas,
abortion,,abortuswetgeving,
alleging,,debat,
candidates,,hillary,
nursery,,verkrachtte,
giulio,,caucus,
theatre,,kardashian,
ministers,,euthanasieverzoek,
boris,,congres,
biden,,trump,
scam,,abortuspil,
consoles,,regen,
democrats,,abortus,
democratic,,anticonceptiepillen,
fetterman,,zwangerschap,
prudente,,zwangerschapsafbrekingen,
polls,,abortuswetgeving,
childbirth,,indonesische,
louisiana,,abortions,
festivals,,abortuswetgeving,
abortion,,atletiekwedstrijd,
abortions,,canadese,
polls,,obamacare,
anaïs,,trump,
mcdonald,,rechtbank,
dishonesty,,advertentiebelasting,
abortion,,georgia,
festival,,trump,
abortion,,antilichamenmedicijn,
oppressive,,republikeinen,
1960s,,abortus,
protests,,christelijke,
coram,,droog,
biosecurity,,abortusklinieken,
judiciary,,aids,
abortion,,abortuswetten,
shinzo,,republikeinen,
gubernatorial,,trump,
infrastructure,,kerk,
emissions,,demonstranten,
abortion,,gezinsplanningsconferentie,
abortion,,abortusdemonstranten,
dnc,,abortushulp,
abortion,,abortusklinieken,
hearst,,desinteresse,
abortion,,groenlanders,
abortion,,argentinië,
abortions,,overleden,
navratilova,,abortusbeleid,
dakota,,abortusstandpunt,
ukraine,,abortusrecht,
accusations,,parlement,
abortion,,vrouwenrechten,
abortion,,nederland,
abortion,,kabinet,
rachel,,heimatministeriumseehofer,
abortion,,tennislegende,
brexit,,abortusklinieken,
archie,,abortusrecht,
democrats,,abortuswet,
abortion,,katholieke,
surveillance,,protesten,
feminism,,droog,
climate,,abortuswetten,
latino,,homorechten,
