,time,title,url,content
58,2023-08-25T17:29:46+0200,"Van der Staaij heeft omstreden standpunten, maar iedereen loopt met hem weg",https://nos.nl//artikel/2487978-van-der-staaij-heeft-omstreden-standpunten-maar-iedereen-loopt-met-hem-weg,Op weg naar TK2023
384,2023-09-07T02:49:47+0200,Hoogste hof Mexico bekrachtigt recht op abortus ,https://nos.nl//artikel/2489520-hoogste-hof-mexico-bekrachtigt-recht-op-abortus,Buitenland
627,2023-08-17T21:50:00+0200,Stijgende sterftecijfers onder zwarte moeders VS: 'Niet serieus genomen',https://nos.nl//artikel/2486982-stijgende-sterftecijfers-onder-zwarte-moeders-vs-niet-serieus-genomen,Buitenland
162,2023-10-12T20:11:23+0200,Aantal abortussen vorig jaar flink gestegen,https://nos.nl//artikel/2493865-aantal-abortussen-vorig-jaar-flink-gestegen,Binnenland
284,2023-09-07T02:49:47+0200,Hoogste hof Mexico bekrachtigt recht op abortus ,https://nos.nl//artikel/2489520-hoogste-hof-mexico-bekrachtigt-recht-op-abortus,Buitenland
536,2023-10-22T15:41:45+0200,Rechtse econoom blikvanger bij belangrijkste verkiezingen in jaren in Argentinië,https://nos.nl//artikel/2494960-rechtse-econoom-blikvanger-bij-belangrijkste-verkiezingen-in-jaren-in-argentinie,Buitenland
519,2023-07-21T22:24:45+0200,Biden draagt eerste vrouwelijke admiraal voor als bevelhebber marine,https://nos.nl//artikel/2483714-biden-draagt-eerste-vrouwelijke-admiraal-voor-als-bevelhebber-marine,Buitenland
601,2023-10-13T23:25:30+0200,Met vrouwenrechten als splijtzwam gaat Polen de verkiezingen in,https://nos.nl//artikel/2494020-met-vrouwenrechten-als-splijtzwam-gaat-polen-de-verkiezingen-in,Buitenland
142,2023-10-12T20:11:23+0200,Aantal abortussen vorig jaar flink gestegen,https://nos.nl//artikel/2493865-aantal-abortussen-vorig-jaar-flink-gestegen,Binnenland
304,2023-09-07T02:49:47+0200,Hoogste hof Mexico bekrachtigt recht op abortus ,https://nos.nl//artikel/2489520-hoogste-hof-mexico-bekrachtigt-recht-op-abortus,Buitenland
609,2023-07-13T20:48:39+0200,Amerikaanse vrouwen hoeven niet meer naar de dokter voor een anticonceptiepil,https://nos.nl//artikel/2482705-amerikaanse-vrouwen-hoeven-niet-meer-naar-de-dokter-voor-een-anticonceptiepil,Buitenland
500,2023-10-23T15:33:23+0200,"Podcast De Dag: Mike Johnson is onbekend, christen en trumpist",https://nos.nl//artikel/2495085-podcast-de-dag-mike-johnson-is-onbekend-christen-en-trumpist,Buitenland
122,2023-10-12T20:11:23+0200,Aantal abortussen vorig jaar flink gestegen,https://nos.nl//artikel/2493865-aantal-abortussen-vorig-jaar-flink-gestegen,Binnenland
582,2023-10-12T20:11:23+0200,Aantal abortussen vorig jaar flink gestegen,https://nos.nl//artikel/2493865-aantal-abortussen-vorig-jaar-flink-gestegen,Binnenland
359,2023-07-21T22:24:45+0200,Biden draagt eerste vrouwelijke admiraal voor als bevelhebber marine,https://nos.nl//artikel/2483714-biden-draagt-eerste-vrouwelijke-admiraal-voor-als-bevelhebber-marine,Buitenland
587,2023-08-17T21:50:00+0200,Stijgende sterftecijfers onder zwarte moeders VS: 'Niet serieus genomen',https://nos.nl//artikel/2486982-stijgende-sterftecijfers-onder-zwarte-moeders-vs-niet-serieus-genomen,Buitenland
385,2023-08-09T05:22:22+0200,"Regels referenda Ohio niet veranderd, overwinning pro-abortus-organisaties",https://nos.nl//artikel/2485970-regels-referenda-ohio-niet-veranderd-overwinning-pro-abortus-organisaties,Buitenland
484,2023-09-07T02:49:47+0200,Hoogste hof Mexico bekrachtigt recht op abortus ,https://nos.nl//artikel/2489520-hoogste-hof-mexico-bekrachtigt-recht-op-abortus,Buitenland
400,2023-10-23T15:33:23+0200,"Podcast De Dag: Mike Johnson is onbekend, christen en trumpist",https://nos.nl//artikel/2495085-podcast-de-dag-mike-johnson-is-onbekend-christen-en-trumpist,Buitenland
470,2023-10-19T13:14:26+0200,"Belangrijkste mensenrechtenprijs EU postuum naar Mahsa Amini, spil Iraanse protesten",https://nos.nl//artikel/2494631-belangrijkste-mensenrechtenprijs-eu-postuum-naar-mahsa-amini-spil-iraanse-protesten,Buitenland
158,2023-08-25T17:29:46+0200,"Van der Staaij heeft omstreden standpunten, maar iedereen loopt met hem weg",https://nos.nl//artikel/2487978-van-der-staaij-heeft-omstreden-standpunten-maar-iedereen-loopt-met-hem-weg,Op weg naar TK2023
629,2023-07-13T20:48:39+0200,Amerikaanse vrouwen hoeven niet meer naar de dokter voor een anticonceptiepil,https://nos.nl//artikel/2482705-amerikaanse-vrouwen-hoeven-niet-meer-naar-de-dokter-voor-een-anticonceptiepil,Buitenland
7,2023-08-17T21:50:00+0200,Stijgende sterftecijfers onder zwarte moeders VS: 'Niet serieus genomen',https://nos.nl//artikel/2486982-stijgende-sterftecijfers-onder-zwarte-moeders-vs-niet-serieus-genomen,Buitenland
316,2023-10-22T15:41:45+0200,Rechtse econoom blikvanger bij belangrijkste verkiezingen in jaren in Argentinië,https://nos.nl//artikel/2494960-rechtse-econoom-blikvanger-bij-belangrijkste-verkiezingen-in-jaren-in-argentinie,Buitenland
13,2023-11-03T23:04:17+0100,ChristenUnie schippert tussen principes en macht,https://nos.nl//nieuwsuur/artikel/2496542-christenunie-schippert-tussen-principes-en-macht,Lijsttrekkers 2023
340,2023-10-23T15:33:23+0200,"Podcast De Dag: Mike Johnson is onbekend, christen en trumpist",https://nos.nl//artikel/2495085-podcast-de-dag-mike-johnson-is-onbekend-christen-en-trumpist,Buitenland
292,2023-10-23T03:47:29+0200,"Nog geen nieuwe president Argentinië, tweede stemronde in november nodig ",https://nos.nl//artikel/2495031-nog-geen-nieuwe-president-argentinie-tweede-stemronde-in-november-nodig,Buitenland
412,2023-10-23T03:47:29+0200,"Nog geen nieuwe president Argentinië, tweede stemronde in november nodig ",https://nos.nl//artikel/2495031-nog-geen-nieuwe-president-argentinie-tweede-stemronde-in-november-nodig,Buitenland
