,section,time,title,url
480,Australia news,2022-07-07T08:29:55Z,Albanese says he’ll treat Putin with ‘contempt’ if paths cross at G20 summit – as it happened,https://www.theguardian.com/australia-news/live/2022/jul/07/australia-news-live-fourth-covid-booster-nsw-floods-jacinda-ardern-dominic-perrottet
91,Opinion,2022-08-04T10:25:05Z,The Kansas victory shows that Democrats can fight for abortion rights and win | Moira Donegan,https://www.theguardian.com/commentisfree/2022/aug/04/the-kansas-victory-shows-that-democrats-can-fight-for-abortion-rights-and-win
427,Opinion,2022-09-19T09:00:38Z,Italian politics has been in trouble for decades. Now it’s heading for a new low | Jamie Mackay,https://www.theguardian.com/commentisfree/2022/sep/19/italy-giorgia-meloni-politics-far-right
516,US news,2022-08-17T10:15:12Z,First Thing: Liz Cheney loses Wyoming Republican primary to Trump-endorsed rival,https://www.theguardian.com/us-news/2022/aug/17/first-thing-liz-cheney-loses-wyoming-republican-primary-to-trump-endorsed-rival
125,Opinion,2022-07-08T09:00:33Z,The brutal US abortion ruling is a potential death sentence for all pregnant women | Emma Brockes,https://www.theguardian.com/commentisfree/2022/jul/08/brutal-us-abortion-ruling-potential-death-sentence-pregnant-women
581,Politics,2022-07-07T11:46:28Z,His toxic spell is broken: Boris Johnson trips over his own lies | Jonathan Freedland,https://www.theguardian.com/politics/2022/jul/07/toxic-spell-broken-boris-johnson-trips-over-own-lies
12,US news,2022-09-12T06:00:06Z,‘A wakeup call’: more Republicans are softening staunch anti-abortion stance,https://www.theguardian.com/us-news/2022/sep/12/republicans-soften-staunch-anti-abortion-stance
344,US news,2022-08-04T10:17:35Z,China begins Taiwan military drills after Pelosi visit | First Thing,https://www.theguardian.com/us-news/2022/aug/04/first-thing-china-begins-taiwan-military-drills-after-pelosi-visit
599,Politics,2022-08-23T21:19:51Z,Tory leadership hustings – Birmingham: Liz Truss confirms she will allow new grammar schools – as it happened,https://www.theguardian.com/politics/live/2022/aug/23/liz-truss-tax-plan-rishi-sunak-boris-johnson-uk-politics-live
385,World news,2022-08-17T15:53:28Z,Chinese government attempts to boost birth rate with new policies,https://www.theguardian.com/world/2022/aug/17/chinese-government-birth-rate-policies-abortions-population
238,Opinion,2022-06-27T07:00:06Z,Let’s call the overturning of Roe v Wade what it is: state-sanctioned forced birth | Rhiannon Lucy Cosslett,https://www.theguardian.com/commentisfree/2022/jun/27/roe-wade-forced-birth-america-abortion-ban-misogyny
586,Australia news,2022-09-18T07:38:33Z,Albanese says he looks forward to working with Liz Truss – as it happened,https://www.theguardian.com/australia-news/live/2022/sep/18/australia-live-news-update-albanese-king-charles-british-pm-of-queens-funeral-londonaustralia-pandemic-covid-cases
452,Television & radio,2022-07-17T22:15:48Z,Better Things series five review – a life-affirming final outing that will leave a gaping hole in TV comedy,https://www.theguardian.com/tv-and-radio/2022/jul/17/better-things-series-five-review-a-life-affirming-final-outing-that-will-leave-a-gaping-hole-in-tv-comedy
441,Law,2022-08-02T15:37:27Z,Supreme court could strike blow against affirmative action in Harvard case ruling,https://www.theguardian.com/us-news/2022/aug/02/supreme-court-affirmative-action-harvard
143,US news,2022-06-24T17:30:46Z,Republican-run US states move to immediately ban abortion after court overturns Roe v Wade,https://www.theguardian.com/law/2022/jun/24/what-states-have-abortion-trigger-laws
341,News,2022-06-27T20:00:01Z,Corrections and clarifications,https://www.theguardian.com/news/2022/jun/27/corrections-and-clarifications
14,US news,2022-08-17T18:20:04Z,Florida court rules teenager ‘not mature enough’ to have abortion,https://www.theguardian.com/us-news/2022/aug/17/florida-pregnant-teenager-abortion-court
563,US news,2022-07-17T06:00:30Z,‘He could be a good president’: is Tucker Carlson the next Donald Trump?,https://www.theguardian.com/us-news/2022/jul/16/tucker-carlson-family-leadership-summit-president
578,US news,2022-07-11T08:00:01Z,How Elise Stefanik rose from moderate Republican to Maga star,https://www.theguardian.com/us-news/2022/jul/11/elise-stefanik-republican-rise-trump
208,US news,2022-07-11T19:14:56Z,FDA could approve over-the-counter purchase of first birth control pill,https://www.theguardian.com/us-news/2022/jul/11/birth-control-pill-no-prescription-over-the-counter-fda
131,Australia news,2022-07-02T07:51:23Z,Three rescued from flood waters; abortion rights protests; 54 Covid deaths – as it happened,https://www.theguardian.com/australia-news/live/2022/jul/02/australia-live-updates-anthony-albanese-emmanuel-macron-nsw-victoria-queensland-wet-weather-rain-flash-flooding-covid-coronavirus
174,US news,2022-06-28T17:47:34Z,Texas judge temporarily blocks state ban on abortions up to six weeks,https://www.theguardian.com/us-news/2022/jun/28/texas-abortion-ban-judge-temporarily-blocks
436,World news,2022-09-16T05:41:20Z,Friday briefing: What we do – and don’t – know about why Chris Kaba was shot dead by police,https://www.theguardian.com/world/2022/sep/16/first-edition-chris-kaba-met-police
191,Opinion,2022-07-01T10:19:13Z,I read the 1973 Roe v Wade ruling to see what we lost. Everyone should | Francine Prose,https://www.theguardian.com/commentisfree/2022/jul/01/roe-v-wade-1973-ruling-supreme-court
270,Art and design,2022-09-06T13:12:29Z,"Artist Zoë Buckman: ‘The UK is screwed, but not nearly as screwed as America’",https://www.theguardian.com/artanddesign/2022/sep/06/artist-zoe-buckman-the-uk-is-screwed-but-not-nearly-as-screwed-as-america
123,World news,2022-07-13T10:00:21Z,"‘At death’s door’: abortion bans endanger lives of high-risk patients, Texas study shows",https://www.theguardian.com/world/2022/jul/13/texas-abortion-ban-maternal-health-risk
138,US news,2022-08-09T18:27:36Z,Nebraska teen and her mother charged for aborting and burying fetus ,https://www.theguardian.com/us-news/2022/aug/09/nebraska-teen-charged-aborting-fetus
51,US news,2022-08-12T07:00:04Z,How they won: Kansas organizers unpack their big win for abortion rights,https://www.theguardian.com/us-news/2022/aug/12/how-abortion-rights-won-kansas-strategies
584,Television & radio,2022-08-21T06:00:01Z,"Emily Maitlis and Jon Sopel: ‘Risk, jeopardy, challenge. Whatever you want to call it we’ve got it’",https://www.theguardian.com/tv-and-radio/2022/aug/21/emily-maitlis-jon-sopel-the-news-agents-podcast-interview
112,Global development,2022-08-03T05:15:18Z,Feminists in India applaud their abortion rights – but they don’t extend to Dalit women  | Shreeja Rao ,https://www.theguardian.com/global-development/2022/aug/03/india-abortion-rights-dalit-women
265,US news,2022-08-25T20:20:36Z,US judge orders Trump Mar-a-Lago affidavit to be unsealed with redactions – as it happened,https://www.theguardian.com/us-news/live/2022/aug/25/trump-fbi-documents-mar-a-lago-biden-student-debt-campaign-latest-updates
382,US news,2022-06-29T20:00:17Z,Giuliani associate Lev Parnas handed 20 months in prison for campaign finance fraud – as it happened,https://www.theguardian.com/us-news/live/2022/jun/29/supreme-court-decisions-epa-trump-immigration-primary-elections-latest
272,US news,2022-09-09T13:07:17Z,Biden seeks to motivate voters from all parties against ‘Maga Republicans destroying politics’,https://www.theguardian.com/us-news/2022/sep/09/biden-motivate-voters-maga-republicans-midterm-elections
256,Politics,2022-06-28T21:35:48Z,Vandals target constituency office of Labour MP Stella Creasy,https://www.theguardian.com/politics/2022/jun/28/vandals-target-constituency-office-of-labour-mp-stella-creasy
486,US news,2022-07-15T20:39:11Z,Biden pledges executive action after Joe Manchin scuppers climate agenda,https://www.theguardian.com/us-news/2022/jul/15/joe-manchin-climate-funding-tax-hikes
105,US news,2022-07-18T09:00:07Z,Will abortion bans deny critical training to the next generation of ob-gyns? ,https://www.theguardian.com/us-news/2022/jul/18/abortion-bans-deny-critical-training-next-generation-ob-gyns
300,Australia news,2022-08-17T20:56:45Z,"Morning mail: wrongly imprisoned Indonesian boys plead for mercy, new emissions plan, Kabul mosque blast",https://www.theguardian.com/australia-news/2022/aug/18/morning-mail-wrongly-imprisoned-indonesian-boys-plead-for-mercy-new-emissions-plan-kabul-mosque-blast
590,Politics,2022-06-29T16:02:08Z,No 10 staff will be able to give evidence confidentially to inquiry into whether PM lied over Partygate – as it happened,https://www.theguardian.com/politics/live/2022/jun/29/ben-wallace-boris-johnson-nato-defence-conservatives-angela-rayner-dominic-raab-pmqs-uk-politics-latest-live
411,Media,2022-07-08T02:27:30Z,Independence day: Labor vows to end ABC board-stacking and ministerial interventions | The Weekly Beast,https://www.theguardian.com/media/2022/jul/08/independence-day-labor-vows-to-end-abc-board-stacking-and-ministerial-interventions
240,US news,2022-07-15T20:38:14Z,‘I will not back down’: Biden vows executive action if Senate cannot pass climate bill – as it happened,https://www.theguardian.com/us-news/live/2022/jul/15/joe-manchin-climate-biden-israel-saudi-arabia-middle-east-us-politics-latest
230,US news,2022-06-27T10:00:10Z,"‘A matter of life and death’: maternal mortality rate will rise without Roe, experts warn",https://www.theguardian.com/us-news/2022/jun/27/roe-v-wade-overturned-maternal-mortality-rate-will-rise
153,News,2022-06-29T08:00:34Z,"A Ukraine reboot / Liberty, undone: Inside the 1 July Guardian Weekly",https://www.theguardian.com/news/2022/jun/29/a-ukraine-reboot-liberty-undone-inside-the-1-july-guardian-weekly
326,US news,2022-08-10T15:50:07Z,Progressive Ilhan Omar wins closer-than-expected House primary in Minnesota,https://www.theguardian.com/us-news/2022/aug/10/ilhan-omar-minnesota-primary-victory-progressives
448,Media,2022-07-21T10:23:41Z,BBC to pay damages to ex-royal nanny over Bashir’s ‘deceitful’ Diana interview ,https://www.theguardian.com/media/2022/jul/21/bbc-pay-damages-ex-royal-nanny-bashir-diana-interview-tiggy-legge-bourke
392,US news,2022-07-28T20:03:29Z,Biden hails ‘most significant legislation to tackle climate crisis’ after Manchin says yes – as it happened,https://www.theguardian.com/us-news/live/2022/jul/28/joe-manchin-biden-democrats-climate-spending-bill-latest
294,Politics,2022-06-25T01:57:12Z,‘Go now’: what the papers say about Tories’ double byelection defeats,https://www.theguardian.com/politics/2022/jun/25/go-now-what-the-papers-say-about-tories-double-byelection-defeats
150,US news,2022-07-14T20:06:01Z,Republicans block bill on right to travel across state lines for abortions – as it happened,https://www.theguardian.com/us-news/live/2022/jul/14/joe-biden-middle-east-israel-inflation-polling-us-politics-latest
